,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
0,137,133,"Tuesday, Aug 29",boxscore,TBR,@,MIA,W,11,2,,81-52,2,2.5,Civale,Alcantara,,3:12,N,10338,.96,+++,,.261,.332,.782,15,10,1,3.85
1,138,134,"Wednesday, Aug 30",boxscore,TBR,@,MIA,W,3,0,10,82-52,2,1.5,Armstrong,Robertson,Fairbanks,2:32,N,9803,.98,++++,,.260,.332,.779,5,4,0,3.82
2,140,135,"Friday, Sep 1",boxscore,TBR,@,CLE,L,2,3,,82-53,2,1.5,Morgan,Glasnow,Clase,2:17,N,25685,1.06,-,,.259,.331,.777,5,8,0,3.82
3,141,136,"Saturday, Sep 2",boxscore,TBR,@,CLE,L-wo,6,7,11,82-54,2,2.5,Hentges,Devenski,,3:18,N,27788,1.06,--,,.259,.331,.777,10,13,1,3.83
4,142,137,"Sunday, Sep 3",boxscore,TBR,@,CLE,W,6,2,,83-54,2,2.5,Poche,Stephan,Fairbanks,3:11,D,25556,.95,+,,.260,.331,.777,13,5,0,3.81
5,143,138,"Monday, Sep 4",boxscore,TBR,,BOS,L,3,7,,83-55,2,3.5,Bello,Devenski,,2:39,D,18302,.93,-,,.259,.330,.775,5,7,2,3.83
6,144,139,"Tuesday, Sep 5",boxscore,TBR,,BOS,W-wo,8,6,11,84-55,2,3.5,Ramírez,Jansen,,3:57,N,9119,.76,+,,.259,.331,.775,6,11,1,3.82
7,145,140,"Wednesday, Sep 6",boxscore,TBR,,BOS,W,3,1,,85-55,2,3.5,Glasnow,Pivetta,Fairbanks,2:32,N,10100,.71,++,,.259,.331,.775,8,5,0,3.80
8,146,141,"Thursday, Sep 7",boxscore,TBR,,SEA,L,0,1,,85-56,2,4.0,Castillo,Littell,Muñoz,2:19,N,10060,.68,-,,.258,.331,.773,4,5,0,3.78
9,147,142,"Friday, Sep 8",boxscore,TBR,,SEA,W,7,4,,86-56,2,4.0,Devenski,Campbell,Fairbanks,2:34,N,21243,.61,+,,.258,.331,.775,8,7,3,3.78
10,148,143,"Saturday, Sep 9",boxscore,TBR,,SEA,W-wo,7,5,,87-56,2,4.0,Poche,Saucedo,,2:46,D,18008,.62,++,,.258,.331,.775,7,6,1,3.78
