,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict
0,0,119,2023-8-9,boxscore,ARI,,LAD,L,0,2,0.496,3,11.0,Phillips,N,0.85,-8,0.253,0.322,0.74,4,8,0,4.64,0
1,1,120,2023-8-11,boxscore,ARI,,SDP,L,5,10,0.491,3,12.5,,N,0.72,-8,0.252,0.322,0.739,5,14,2,4.68,0
2,2,121,2023-8-12,boxscore,ARI,,SDP,W,3,0,0.496,3,12.5,Sewald,N,0.62,-9,0.253,0.322,0.74,10,5,0,4.64,1
3,3,122,2023-8-13,boxscore,ARI,,SDP,W,5,4,0.5,3,12.5,Sewald,D,0.68,1,0.253,0.323,0.742,10,11,0,4.64,1
4,4,123,2023-8-14,boxscore,ARI,@,COL,L,4,6,0.496,3,13.0,Lawrence,N,0.69,2,0.252,0.321,0.74,5,11,2,4.65,0
5,5,124,2023-8-15,boxscore,ARI,@,COL,W,8,5,0.5,3,13.0,Sewald,N,0.61,-1,0.253,0.322,0.742,14,10,1,4.66,1
6,6,125,2023-8-16,boxscore,ARI,@,COL,W,9,7,0.504,3,13.0,Sewald,D,0.77,1,0.254,0.324,0.745,12,13,2,4.68,1
7,7,126,2023-8-17,boxscore,ARI,@,SDP,W,3,1,0.508,3,13.0,Martinez,N,0.89,2,0.253,0.323,0.743,3,3,0,4.64,1
8,8,127,2023-8-18,boxscore,ARI,@,SDP,L,0,4,0.504,3,13.0,,N,0.97,3,0.253,0.322,0.741,6,4,1,4.64,0
9,9,128,2023-8-19,boxscore,ARI,@,SDP,W,6,4,0.508,3,13.0,Sewald,D,0.92,-1,0.253,0.323,0.742,9,7,3,4.64,1
10,10,129,2023-8-19,boxscore,ARI,@,SDP,W,8,1,0.512,3,13.0,,N,1.01,1,0.254,0.323,0.743,13,5,1,4.61,1
11,11,130,2023-8-21,boxscore,ARI,,TEX,W-wo,4,3,0.516,3,12.5,,N,1.04,2,0.253,0.323,0.742,7,5,1,4.58,0
12,12,131,2023-8-22,boxscore,ARI,,TEX,W,6,3,0.52,2,11.5,Sewald,N,1.09,3,0.254,0.323,0.742,9,13,1,4.57,1
13,13,132,2023-8-24,boxscore,ARI,,CIN,W,3,2,0.523,2,12.0,Sewald,N,1.34,4,0.254,0.324,0.742,10,3,1,4.55,1
14,14,133,2023-8-25,boxscore,ARI,,CIN,W,10,8,0.527,2,12.0,Ginkel,N,1.36,5,0.254,0.325,0.744,10,8,3,4.57,1
15,15,134,2023-8-26,boxscore,ARI,,CIN,L,7,8,0.523,2,12.0,Sims,N,1.43,6,0.254,0.324,0.743,8,13,1,4.58,0
16,16,135,2023-8-27,boxscore,ARI,,CIN,W,5,2,0.527,2,12.0,Thompson,D,1.43,-1,0.254,0.325,0.744,8,4,0,4.56,1
17,17,136,2023-8-28,boxscore,ARI,@,LAD,L,4,7,0.523,2,13.0,Ferguson,N,1.13,1,0.254,0.324,0.744,8,11,4,4.58,0
18,18,137,2023-8-29,boxscore,ARI,@,LAD,L,1,9,0.519,3,14.0,,N,1.13,-1,0.254,0.324,0.743,6,16,2,4.62,0
19,19,138,2023-8-30,boxscore,ARI,@,LAD,L,0,7,0.515,3,15.0,Yarbrough,N,1.09,-2,0.253,0.323,0.741,6,11,2,4.63,0
20,20,140,2023-9-1,boxscore,ARI,,BAL,W,4,2,0.519,2,13.5,Sewald,N,1.05,-3,0.254,0.324,0.742,10,8,0,4.61,1
21,21,141,2023-9-2,boxscore,ARI,,BAL,L,3,7,0.515,2,13.5,,N,1.14,1,0.253,0.323,0.741,5,11,2,4.63,0
22,22,142,2023-9-3,boxscore,ARI,,BAL,L,5,8,0.511,2,14.5,,D,1.08,-1,0.253,0.323,0.741,9,14,0,4.65,0
23,23,143,2023-9-4,boxscore,ARI,,COL,W,4,2,0.514,2,14.0,Sewald,D,1.0,-2,0.253,0.322,0.74,6,5,0,4.64,1
