,index,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA
0,119,115,"Tuesday, Aug 8",boxscore,TBR,,STL,W,4,2,,69-46,2,2.0,Adam,Mikolas,Fairbanks,2:17,N,15522,1.10,++,,.256,.328,.773,12,6,2,3.77
1,120,116,"Wednesday, Aug 9",boxscore,TBR,,STL,L,4,6,,69-47,2,2.0,Hudson,Kelly,Gallegos,2:33,N,11203,1.14,-,,.256,.328,.774,9,9,1,3.79
2,121,117,"Thursday, Aug 10",boxscore,TBR,,STL,L,2,5,,69-48,2,3.0,Liberatore,Littell,,2:09,N,11990,1.25,--,,.255,.327,.771,4,11,2,3.80
3,122,118,"Friday, Aug 11",boxscore,TBR,,CLE,W-wo,9,8,,70-48,2,2.0,Stephenson,Sandlin,,2:55,N,19625,1.23,+,,.254,.327,.771,7,10,1,3.83
4,123,119,"Saturday, Aug 12",boxscore,TBR,,CLE,W-wo,6,5,,71-48,2,2.0,Fleming,Clase,,2:54,D,25025,1.27,++,,.255,.327,.772,12,13,0,3.84
5,124,120,"Sunday, Aug 13",boxscore,TBR,,CLE,L,2,9,,71-49,2,3.0,Bibee,Eflin,,2:50,D,22163,1.14,-,,.255,.327,.771,8,15,2,3.89
6,125,121,"Monday, Aug 14",boxscore,TBR,@,SFG,W,10,2,,72-49,2,3.0,Glasnow,Beck,Lopez,2:45,N,25748,1.16,+,,.257,.328,.773,18,6,0,3.87
7,126,122,"Tuesday, Aug 15",boxscore,TBR,@,SFG,L,0,7,,72-50,2,3.0,Manaea,Littell,,2:15,N,26322,1.04,-,,.256,.327,.770,3,9,2,3.88
8,127,123,"Wednesday, Aug 16",boxscore,TBR,@,SFG,W,6,1,,73-50,2,2.0,Civale,Walker,,2:25,D,27510,1.13,+,,.256,.327,.772,14,8,0,3.86
9,128,124,"Friday, Aug 18",boxscore,TBR,@,LAA,W,9,6,10,74-50,2,2.0,Fairbanks,Estévez,Kittredge,3:20,N,38297,1.21,++,,.257,.328,.772,15,9,1,3.87
10,129,125,"Saturday, Aug 19 (1)",boxscore,TBR,@,LAA,L,6,7,,74-51,2,2.5,Canning,Glasnow,López,2:34,D,27309,1.12,-,,.257,.329,.773,8,9,1,3.88
11,130,126,"Saturday, Aug 19 (2)",boxscore,TBR,@,LAA,W,18,4,,75-51,2,2.5,Eflin,Sandoval,,2:52,N,33803,1.15,+,,.259,.330,.778,19,8,2,3.88
