,level_0,index,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,W-L,Rank,GB,Save,D/N,cLI,Streak,BA,OBP,OPS,Team_Hits,Hits_allowed,HR_allowed,ERA,predict,opp_number,RA_ave,R_ave,BA_ave,OBP_ave,OPS_ave,Team_Hits_ave,Hits_allowed_ave,ERA_ave,cLI_ave
0,5.0,118.0,2023-08-08,boxscore,ARI,,LAD,L,4.0,5.0,0.5,3.0,10.0,Phillips,N,0.99,-6,0.254,0.323,0.742,10.0,9.0,0.0,4.66,0.0,13,5.0,1.6,0.2544,0.32280000000000003,0.7444,6.6,8.4,4.618,1.248
1,6.0,119.0,2023-08-09,boxscore,ARI,,LAD,L,0.0,2.0,0.496,3.0,11.0,Phillips,N,0.85,-7,0.253,0.322,0.74,4.0,8.0,0.0,4.64,0.0,13,5.2,2.0,0.2542,0.32280000000000003,0.7432000000000001,7.6,8.2,4.628,1.1320000000000001
2,7.0,120.0,2023-08-11,boxscore,ARI,,SDP,L,5.0,10.0,0.491,3.0,12.5,,N,0.72,-8,0.252,0.322,0.739,5.0,14.0,2.0,4.68,0.0,22,5.4,2.0,0.2538,0.3226,0.7422000000000001,7.2,9.4,4.638,1.012
3,8.0,121.0,2023-08-12,boxscore,ARI,,SDP,W,3.0,0.0,0.496,3.0,12.5,Sewald,N,0.62,-9,0.253,0.322,0.74,10.0,5.0,0.0,4.64,1.0,22,6.8,2.6,0.2532,0.3224,0.7412,6.4,10.8,4.6579999999999995,0.9259999999999999
4,9.0,122.0,2023-08-13,boxscore,ARI,,SDP,W,5.0,4.0,0.5,3.0,12.5,Sewald,D,0.68,1,0.253,0.323,0.742,10.0,11.0,0.0,4.64,1.0,22,4.4,3.0,0.2532,0.32239999999999996,0.7407999999999999,8.0,8.4,4.656000000000001,0.8400000000000001
5,10.0,123.0,2023-08-14,boxscore,ARI,@,COL,L,4.0,6.0,0.496,3.0,13.0,Lawrence,N,0.69,2,0.252,0.321,0.74,5.0,11.0,2.0,4.65,0.0,8,4.2,3.4,0.253,0.3224,0.7405999999999999,7.8,9.4,4.651999999999999,0.772
6,11.0,124.0,2023-08-15,boxscore,ARI,@,COL,W,8.0,5.0,0.5,3.0,13.0,Sewald,N,0.61,-1,0.253,0.322,0.742,14.0,10.0,1.0,4.66,1.0,8,4.4,3.4,0.2526,0.322,0.7402,6.8,9.8,4.65,0.712
7,12.0,125.0,2023-08-16,boxscore,ARI,@,COL,W,9.0,7.0,0.504,3.0,13.0,Sewald,D,0.77,1,0.254,0.324,0.745,12.0,13.0,2.0,4.68,1.0,8,5.0,5.0,0.2526,0.32199999999999995,0.7406,8.8,10.2,4.654,0.6639999999999999
8,13.0,126.0,2023-08-17,boxscore,ARI,@,SDP,W,3.0,1.0,0.508,3.0,13.0,Martinez,N,0.89,2,0.253,0.323,0.743,3.0,3.0,0.0,4.64,1.0,22,4.4,5.8,0.253,0.32239999999999996,0.7417999999999999,10.2,10.0,4.654,0.674
9,14.0,127.0,2023-08-18,boxscore,ARI,@,SDP,L,0.0,4.0,0.504,3.0,13.0,,N,0.97,3,0.253,0.322,0.741,6.0,4.0,1.0,4.64,0.0,22,4.6,5.8,0.253,0.3226,0.7424000000000001,8.8,9.6,4.654,0.728
10,15.0,128.0,2023-08-19,boxscore,ARI,@,SDP,W,6.0,4.0,0.508,3.0,13.0,Sewald,D,0.92,-1,0.253,0.323,0.742,9.0,7.0,3.0,4.64,1.0,22,4.6,4.8,0.253,0.3224,0.7422000000000001,8.0,8.2,4.654000000000001,0.7859999999999999
11,16.0,129.0,2023-08-19,boxscore,ARI,@,SDP,W,8.0,1.0,0.512,3.0,13.0,,N,1.01,1,0.254,0.323,0.743,13.0,5.0,1.0,4.61,1.0,22,4.2,5.2,0.2532,0.3228,0.7426,8.8,7.4,4.651999999999999,0.8320000000000001
12,17.0,130.0,2023-08-21,boxscore,ARI,,TEX,W-wo,4.0,3.0,0.516,3.0,12.5,,N,1.04,2,0.253,0.323,0.742,7.0,5.0,1.0,4.58,0.0,27,3.4,5.2,0.25339999999999996,0.323,0.7428,8.6,6.4,4.642,0.9120000000000001
